syllable,tone1,tone2,tone3,tone4,tone5,tones_available
yi,yi1,yi2,yi3,yi4,,1|2|3|4
yin,yin1,yin2,yin3,yin4,yin5,1|2|3|4|5
ying,ying1,ying2,ying3,ying4,,1|2|3|4
yo,yo1,,,,yo5,1|5
yong,yong1,yong2,yong3,yong4,,1|2|3|4
you,you1,you2,you3,you4,you5,1|2|3|4|5
yu,yu1,yu2,yu3,yu4,yu5,1|2|3|4|5
yuan,yuan1,yuan2,yuan3,yuan4,,1|2|3|4
yue,yue1,yue2,yue3,yue4,,1|2|3|4
yun,yun1,yun2,yun3,yun4,yun5,1|2|3|4|5
za,za1,za2,za3,za4,,1|2|3|4
zai,zai1,,zai3,zai4,,1|3|4
zan,zan1,zan2,zan3,zan4,zan5,1|2|3|4|5
zang,zang1,,zang3,zang4,,1|3|4
zao,zao1,zao2,zao3,zao4,,1|2|3|4
ze,,ze2,,ze4,ze5,2|4|5
zei,,zei2,,,,2
zen,zen1,,zen3,zen4,zen5,1|3|4|5
zeng,zeng1,,zeng3,zeng4,,1|3|4
zha,zha1,zha2,zha3,zha4,zha5,1|2|3|4|5
zhai,zhai1,zhai2,zhai3,zhai4,,1|2|3|4
zhan,zhan1,zhan2,zhan3,zhan4,,1|2|3|4
zhang,zhang1,,zhang3,zhang4,zhang5,1|3|4|5
zhao,zhao1,zhao2,zhao3,zhao4,zhao5,1|2|3|4|5
zhe,zhe1,zhe2,zhe3,zhe4,zhe5,1|2|3|4|5
zhei,,,,zhei4,,4
zhen,zhen1,zhen2,zhen3,zhen4,,1|2|3|4
zheng,zheng1,,zheng3,zheng4,,1|3|4
zhi,zhi1,zhi2,zhi3,zhi4,zhi5,1|2|3|4|5
zhong,zhong1,,zhong3,zhong4,,1|3|4
zhou,zhou1,zhou2,zhou3,zhou4,,1|2|3|4
zhu,zhu1,zhu2,zhu3,zhu4,,1|2|3|4
zhua,zhua1,,zhua3,,,1|3
zhuai,zhuai1,,zhuai3,zhuai4,,1|3|4
zhuan,zhuan1,zhuan2,zhuan3,zhuan4,,1|2|3|4
zhuang,zhuang1,,zhuang3,zhuang4,,1|3|4
zhui,zhui1,,zhui3,zhui4,,1|3|4
zhun,zhun1,,zhun3,zhun4,,1|3|4
zhuo,zhuo1,zhuo2,,zhuo4,zhuo5,1|2|4|5
zi,zi1,zi2,zi3,zi4,zi5,1|2|3|4|5
zong,zong1,,zong3,zong4,zong5,1|3|4|5
zou,zou1,,zou3,zou4,,1|3|4
zu,zu1,zu2,zu3,zu4,,1|2|3|4
zuan,zuan1,,zuan3,zuan4,,1|3|4
zui,zui1,zui2,zui3,zui4,zui5,1|2|3|4|5
zun,zun1,zun2,zun3,zun4,,1|2|3|4
zuo,zuo1,zuo2,zuo3,zuo4,zuo5,1|2|3|4|5
